,Volume,Close,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
60,31400,4698.27978515625,4742.466434457468,4673.660740249649,4444.586445108472,4213.242047743043,4015.3043217407467,3853.1102684396883,-26.626290282906325,55.072953138055134,0
61,34600,4707.7998046875,4735.533108503474,4676.912079719921,4454.908537640983,4223.035270652834,4022.194824058625,3856.5222027161267,-29.196552465667367,55.59124004250921,1
62,34200,4744.10009765625,4737.24650633403,4683.310938571,4466.249383131778,4233.35338603904,4029.377961109348,3860.065427845628,-28.118497840388102,57.59981078310182,1
63,42200,4780.52001953125,4745.901208973473,4692.568946281501,4478.57372181411,4244.18836888047,4036.8520114419043,3863.739897273515,-24.738540142642222,59.57531817473485,1
64,32200,4906.8701171875,4778.094990616279,4712.978581605882,4495.369658887577,4257.310779738034,4045.5089080164876,3867.9040897681816,-14.29745929982927,65.56885978412613,1
65,40800,5063.02978515625,4835.081949524273,4746.3167914678215,4517.630840309878,4273.265611528494,4055.6334938586742,3872.675050628014,1.957021961349966,71.24363736606497,1
66,44200,5097.83984375,4887.633528369419,4779.795177399458,4540.384134562432,4289.593814146742,4066.003706295404,3877.565928045667,13.254434189098745,72.33809774133036,-1
67,36400,5064.91015625,4923.088853945535,4806.948984909033,4560.953782471749,4304.946613000272,4075.9430739566437,3882.3058251642474,16.499420684094233,69.63799740543263,-1
68,34000,5047.5400390625,4947.979090968928,4829.862418637935,4580.0355964557,4319.651433318336,4085.6107054502345,3886.9574587526636,15.482565087177107,68.19206991540452,-1
69,25200,4971.56982421875,4952.697237618893,4843.358362026584,4595.389879897388,4332.56070838567,4094.426219069822,3891.2872486347637,8.072765453773869,62.11719465786275,1
70,34200,4998.56982421875,4961.871754938865,4858.140406044886,4611.200858106068,4345.749007709097,4103.422672852399,3895.707538357654,3.5973453798125803,63.36627302956892,1
71,29000,5030.64013671875,4975.625431294842,4874.568951823349,4627.649457267349,4359.311208283545,4112.648717268979,3900.238207412988,1.511122901675975,64.84883019981751,-1
72,27200,5005.77001953125,4981.654348942124,4887.064291605055,4642.477714611032,4372.112372862707,4121.535496395967,3904.6515080601666,-2.605482934415818,62.728731055517834,-1
